from_idx,to_idx,from,to,distance,duration,dest_closeTime
0,38,"Witolda 17, 81-532 Gdynia, Poland","trakt świętego Wojciecha 35, 80-376 Gdańsk, Poland",30331.0,1849.0,2021-11-27 16:00:00
0,39,"Witolda 17, 81-532 Gdynia, Poland","Olszyńska 3, 80-734 Gdańsk, Poland",30750.0,2009.0,2021-11-27 16:00:00
0,40,"Witolda 17, 81-532 Gdynia, Poland","Olszyńska 29, 80-734 Gdańsk, Poland",30996.0,2017.0,2021-11-27 16:00:00
0,41,"Witolda 17, 81-532 Gdynia, Poland","Miodowa 32, 80-740 Gdańsk, Poland",32203.0,2208.0,2021-11-27 16:00:00
0,42,"Witolda 17, 81-532 Gdynia, Poland","Zawodzie 35, 80-726 Gdańsk, Poland",33486.0,2210.0,2021-11-27 18:00:00
0,43,"Witolda 17, 81-532 Gdynia, Poland","Wschodnia 43, 80-066 Gdańsk, Poland",36047.0,2161.0,2021-11-27 16:00:00
0,44,"Witolda 17, 81-532 Gdynia, Poland","Strzelców Karpackich 6D, 80-041 Gdańsk, Poland",28772.0,1898.0,2021-11-27 16:00:00
0,46,"Witolda 17, 81-532 Gdynia, Poland","Dywizji Wołyńskiej 18B, 80-180 Gdańsk, Poland",28714.0,1879.0,2021-11-27 16:00:00
0,47,"Witolda 17, 81-532 Gdynia, Poland","Świętokrzyska 60, 80-180 Gdańsk, Poland",28020.0,1768.0,2021-11-27 16:00:00
0,48,"Witolda 17, 81-532 Gdynia, Poland","Świętokrzyska 22, 80-180 Gdańsk, Poland",27527.0,1722.0,2021-11-27 16:00:00
0,49,"Witolda 17, 81-532 Gdynia, Poland","Niepołomicka 32, 80-001 Gdańsk, Poland",29124.0,1943.0,2021-11-27 16:00:00
0,50,"Witolda 17, 81-532 Gdynia, Poland","Władysława IV 24, 81-384 Gdynia, Poland",6050.0,670.0,
1,0,"Witolda 39A, 81-531 Gdynia, Poland","Witolda 17, 81-532 Gdynia, Poland",279.0,61.0,2021-11-27 16:00:00
1,2,"Witolda 39A, 81-531 Gdynia, Poland","Wielkopolska 260, 81-531 Gdynia, Poland",598.0,120.0,2021-11-27 16:00:00
1,3,"Witolda 39A, 81-531 Gdynia, Poland","Korzenna 16a, 81-587 Gdynia, Poland",1465.0,232.0,2021-11-27 16:00:00
1,4,"Witolda 39A, 81-531 Gdynia, Poland","Wiczlińska 4, 81-578 Gdynia, Poland",3212.0,420.0,2021-11-27 16:00:00
1,5,"Witolda 39A, 81-531 Gdynia, Poland","Starowiejska 40C, 81-363 Gdynia, Poland",6611.0,756.0,2021-11-27 16:00:00
1,6,"Witolda 39A, 81-531 Gdynia, Poland","10 Lutego 7, 81-366 Gdynia, Poland",6323.0,734.0,2021-11-27 16:00:00
1,7,"Witolda 39A, 81-531 Gdynia, Poland","Antoniego Abrahama 46 A-B, 81-395 Gdynia, Poland",5912.0,674.0,2021-11-27 16:00:00
1,9,"Witolda 39A, 81-531 Gdynia, Poland","Świętojańska 75, 81-389 Gdynia, Poland",5767.0,667.0,2021-11-27 16:00:00
1,10,"Witolda 39A, 81-531 Gdynia, Poland","Ignacego Krasickiego 45, 81-377 Gdynia, Poland",5847.0,727.0,2021-11-27 16:00:00
1,11,"Witolda 39A, 81-531 Gdynia, Poland","Augustyna Necla 5, 81-377 Gdynia, Poland",5923.0,773.0,2021-11-27 16:00:00
1,12,"Witolda 39A, 81-531 Gdynia, Poland","Batalionów Chłopskich 24, 81-415 Gdynia, Poland",4143.0,562.0,2021-11-27 16:00:00
1,13,"Witolda 39A, 81-531 Gdynia, Poland","Łużycka 3, 81-537 Gdynia, Poland",3765.0,515.0,2021-11-27 16:00:00
1,14,"Witolda 39A, 81-531 Gdynia, Poland","Łużycka 3A, 81-472 Gdynia, Poland",3954.0,536.0,2021-11-27 16:00:00
1,15,"Witolda 39A, 81-531 Gdynia, Poland","plac Górnośląski 4a, 81-509 Gdynia, Poland",1904.0,295.0,2021-11-27 16:00:00
1,16,"Witolda 39A, 81-531 Gdynia, Poland","aleja Zwycięstwa 238, 81-525 Gdynia, Poland",3243.0,441.0,2021-11-27 16:00:00
1,17,"Witolda 39A, 81-531 Gdynia, Poland","Aleja Niepodległości 899, Sopot, Poland",5663.0,753.0,2021-11-27 17:00:00
1,18,"Witolda 39A, 81-531 Gdynia, Poland","Aleja Niepodległości 938, 81-855 Sopot, Poland",5523.0,667.0,2021-11-27 16:00:00
1,19,"Witolda 39A, 81-531 Gdynia, Poland","Jana Jerzego Haffnera 59, 81-715 Sopot, Poland",6487.0,760.0,2021-11-27 16:00:00
1,21,"Witolda 39A, 81-531 Gdynia, Poland","Jana Jerzego Haffnera 42, 81-707 Sopot, Poland",6891.0,832.0,2021-11-27 16:00:00
1,22,"Witolda 39A, 81-531 Gdynia, Poland","Michała Drzymały 9, 81-771 Sopot, Poland",9691.0,1291.0,2021-11-27 16:00:00
1,23,"Witolda 39A, 81-531 Gdynia, Poland","Księcia Józefa Poniatowskiego 2, 81-724 Sopot, Poland",9437.0,1172.0,2021-11-27 16:00:00
1,24,"Witolda 39A, 81-531 Gdynia, Poland","Bitwy pod Płowcami 54, 81-731 Sopot, Poland",9796.0,1170.0,2021-11-27 16:00:00
1,25,"Witolda 39A, 81-531 Gdynia, Poland","Tadeusza Kościuszki 27, 80-445 Gdańsk, Poland",15534.0,1715.0,2021-11-27 16:00:00
1,26,"Witolda 39A, 81-531 Gdynia, Poland","Jana Kilińskiego 9, 80-452 Gdańsk, Poland",15661.0,1762.0,2021-11-27 16:00:00
1,27,"Witolda 39A, 81-531 Gdynia, Poland","Danusi 4C, 80-434 Gdańsk, Poland",16657.0,1833.0,2021-11-27 16:00:00
