,point_id,time_spent,distance_driven,StreetNumber,Street,PostalCode,City,IsNormalized,OpenTime,CloseTime,isStart,prenormalised,geocode,street_number_n,route_n,locality_n,administrative_area_level_2_n,postal_code_n,formatted_address_n,lat_n,lng_n,place_id_n,visited,lat/lng
22,25,2021-11-28 12:01:02,40643.0,27,Kościuszki,80-445,Gdańsk,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Kosciuszki 27, 80-445 Gdansk","{'street_number': '27', 'route': 'Tadeusza Kościuszki', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-445', 'formatted_address': 'Tadeusza Kościuszki 27, 80-445 Gdańsk, Poland', 'lat': 54.3864335, 'lng': 18.6075314, 'place_id': 'ChIJUy_UqMB0_UYRao10VkY_IZQ'}",27,Tadeusza Kościuszki,Gdańsk,Gdańsk,80-445,"Tadeusza Kościuszki 27, 80-445 Gdańsk, Poland",54.3864335,18.6075314,ChIJUy_UqMB0_UYRao10VkY_IZQ,True,"[54.3864335, 18.6075314]"
23,26,2021-11-28 12:08:57,41153.0,9,Jana Kilińskiego,80-452,Gdańsk,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Jana Kilinskiego 9, 80-452 Gdansk","{'street_number': '9', 'route': 'Jana Kilińskiego', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-452', 'formatted_address': 'Jana Kilińskiego 9, 80-452 Gdańsk, Poland', 'lat': 54.3836474, 'lng': 18.6064731, 'place_id': 'ChIJE-8ihr90_UYRDqW5bQHeccA'}",9,Jana Kilińskiego,Gdańsk,Gdańsk,80-452,"Jana Kilińskiego 9, 80-452 Gdańsk, Poland",54.3836474,18.6064731,ChIJE-8ihr90_UYRDqW5bQHeccA,True,"[54.3836474, 18.6064731]"
24,27,2021-11-28 12:19:08,42271.0,4C/1,Danusi,80-434,Gdańsk,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Danusi 4C/1, 80-434 Gdansk","{'street_number': '4C', 'route': 'Danusi', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-434', 'formatted_address': 'Danusi 4C, 80-434 Gdańsk, Poland', 'lat': 54.3806143, 'lng': 18.6148434, 'place_id': 'ChIJ9b8N8710_UYRW-A-gz1uwik'}",4C,Danusi,Gdańsk,Gdańsk,80-434,"Danusi 4C, 80-434 Gdańsk, Poland",54.3806143,18.6148434,ChIJ9b8N8710_UYRW-A-gz1uwik,True,"[54.3806143, 18.6148434]"
25,28,2021-11-28 12:25:58,42441.0,20/2,Wyspiańskiego,80-434,Gdańsk,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Wyspianskiego 20/2, 80-434 Gdansk","{'street_number': '20', 'route': 'Stanisława Wyspiańskiego', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-434', 'formatted_address': 'Stanisława Wyspiańskiego 20, 80-434 Gdańsk, Poland', 'lat': 54.379771, 'lng': 18.6163245, 'place_id': 'ChIJcS1OKpZ0_UYRHFYihtBcP-4'}",20,Stanisława Wyspiańskiego,Gdańsk,Gdańsk,80-434,"Stanisława Wyspiańskiego 20, 80-434 Gdańsk, Poland",54.379771,18.6163245,ChIJcS1OKpZ0_UYRHFYihtBcP-4,True,"[54.379771, 18.6163245]"
26,31,2021-11-28 12:34:16,43213.0,12,aleja Grunwaldzka,80-236,Gdańsk,True,2021-11-28 12:00:00,2021-11-28 18:00:00,False,"aleja Grunwaldzka 12, 80-236 Gdansk","{'street_number': '12', 'route': 'aleja Grunwaldzka', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-236', 'formatted_address': 'aleja Grunwaldzka 12, 80-236 Gdańsk, Poland', 'lat': 54.374852, 'lng': 18.618636, 'place_id': 'ChIJq6Z95Zl0_UYR9ylXhtnooJg'}",12,aleja Grunwaldzka,Gdańsk,Gdańsk,80-236,"aleja Grunwaldzka 12, 80-236 Gdańsk, Poland",54.374852,18.618636,ChIJq6Z95Zl0_UYR9ylXhtnooJg,True,"[54.374852, 18.618636]"
27,29,2021-11-28 12:42:24,43976.0,49,al. Grunwaldzka,80-241,Gdańsk,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"al. Grunwaldzka 49, 80-241 Gdansk","{'street_number': '49', 'route': 'aleja Grunwaldzka', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-241', 'formatted_address': 'aleja Grunwaldzka 49, 80-241 Gdańsk, Poland', 'lat': 54.3768463, 'lng': 18.6121372, 'place_id': 'ChIJoyoCk5Z0_UYRKoxvciRJ1jo'}",49,aleja Grunwaldzka,Gdańsk,Gdańsk,80-241,"aleja Grunwaldzka 49, 80-241 Gdańsk, Poland",54.3768463,18.6121372,ChIJoyoCk5Z0_UYRKoxvciRJ1jo,True,"[54.3768463, 18.6121372]"
28,30,2021-11-28 12:50:26,44704.0,56,aleja Grunwaldzka,80-241,Gdańsk,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"aleja Grunwaldzka 56, 80-241 Gdansk","{'street_number': '56', 'route': 'aleja Grunwaldzka', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-241', 'formatted_address': 'aleja Grunwaldzka 56, 80-241 Gdańsk, Poland', 'lat': 54.376376, 'lng': 18.611769, 'place_id': 'ChIJFcmOv5Z0_UYRVqq-J1R6Rbo'}",56,aleja Grunwaldzka,Gdańsk,Gdańsk,80-241,"aleja Grunwaldzka 56, 80-241 Gdańsk, Poland",54.376376,18.611769,ChIJFcmOv5Z0_UYRVqq-J1R6Rbo,True,"[54.376376, 18.611769]"
29,33,2021-11-28 12:59:42,45811.0,65,Do Studzienki,80-227,Gdańsk,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Do Studzienki 65, 80-227 Gdansk","{'street_number': '65', 'route': 'Do Studzienki', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-227', 'formatted_address': 'Do Studzienki 65, 80-227 Gdańsk, Poland', 'lat': 54.368094, 'lng': 18.6097082, 'place_id': 'ChIJxQ1FuI90_UYRQc9uBYnkpVw'}",65,Do Studzienki,Gdańsk,Gdańsk,80-227,"Do Studzienki 65, 80-227 Gdańsk, Poland",54.368094,18.6097082,ChIJxQ1FuI90_UYRQc9uBYnkpVw,True,"[54.368094, 18.6097082]"
30,32,2021-11-28 13:09:04,46308.0,115C,Traugutta,80-226,Gdańsk,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Traugutta 115C, 80-226 Gdansk","{'premise': 'Budynek Działu Gospodarczego Wirtualna Polska', 'street_number': '115c', 'route': 'Traugutta', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-226', 'formatted_address': 'Budynek Działu Gospodarczego Wirtualna Polska, Traugutta 115c, 80-226 Gdańsk, Poland', 'lat': 54.369608, 'lng': 18.6081547, 'place_id': 'ChIJ9YFcJo50_UYRYxTS3SllnKw'}",115c,Traugutta,Gdańsk,Gdańsk,80-226,"Budynek Działu Gospodarczego Wirtualna Polska, Traugutta 115c, 80-226 Gdańsk, Poland",54.369608,18.6081547,ChIJ9YFcJo50_UYRYxTS3SllnKw,True,"[54.369608, 18.6081547]"
31,34,2021-11-28 13:23:24,48977.0,24,Beethovena,80-001,Gdańsk,True,2021-11-28 09:00:00,2021-11-28 17:00:00,False,"Beethovena 24, 80-001 Gdansk","{'street_number': '24', 'route': 'Beethovena', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-171', 'formatted_address': 'Beethovena 24, 80-171 Gdańsk, Poland', 'lat': 54.3559713, 'lng': 18.6133406, 'place_id': 'ChIJL17XdX50_UYRNYJt4RwPUzw'}",24,Beethovena,Gdańsk,Gdańsk,80-001,"Beethovena 24, 80-171 Gdańsk, Poland",54.3559713,18.6133406,ChIJL17XdX50_UYRNYJt4RwPUzw,True,"[54.3559713, 18.6133406]"
32,36,2021-11-28 13:34:52,51065.0,103,Malczewskiego,80-107,Gdańsk,False,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Malczewskiego 103, 80-107 Gdansk","{'street_number': '103', 'route': 'Jacka Malczewskiego', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-112', 'formatted_address': 'Jacka Malczewskiego 103, 80-112 Gdańsk, Poland', 'lat': 54.3479146, 'lng': 18.6223327, 'place_id': 'ChIJ2fRp9oZz_UYR2Hra4VHvB1A'}",103,Jacka Malczewskiego,Gdańsk,Gdańsk,80-107,"Jacka Malczewskiego 103, 80-112 Gdańsk, Poland",54.3479146,18.6223327,ChIJ2fRp9oZz_UYR2Hra4VHvB1A,True,"[54.3479146, 18.6223327]"
33,35,2021-11-28 13:44:49,52121.0,187,Kartuska,80-122,Gdańsk,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Kartuska 187, 80-122 Gdansk","{'street_number': '187', 'route': 'Kartuska', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-122', 'formatted_address': 'Kartuska 187, 80-122 Gdańsk, Poland', 'lat': 54.34922419999999, 'lng': 18.6080215, 'place_id': 'ChIJnzJUJnp0_UYRrGYAQ7Az-nc'}",187,Kartuska,Gdańsk,Gdańsk,80-122,"Kartuska 187, 80-122 Gdańsk, Poland",54.34922419999999,18.6080215,ChIJnzJUJnp0_UYRrGYAQ7Az-nc,True,"[54.34922419999999, 18.6080215]"
34,37,2021-11-28 13:57:19,54244.0,35,Stoczniowców,80-812,Gdańsk,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"Stoczniowcow 35, 80-812 Gdansk","{'street_number': '35', 'route': 'Stoczniowców', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-812', 'formatted_address': 'Stoczniowców 35, 80-812 Gdańsk, Poland', 'lat': 54.344383, 'lng': 18.6304379, 'place_id': 'ChIJX_ZVRYVz_UYRYfcO7_hPy6k'}",35,Stoczniowców,Gdańsk,Gdańsk,80-812,"Stoczniowców 35, 80-812 Gdańsk, Poland",54.344383,18.6304379,ChIJX_ZVRYVz_UYRYfcO7_hPy6k,True,"[54.344383, 18.6304379]"
35,38,2021-11-28 14:06:48,56380.0,35,trakt Świętego Wojciecha,80-812,Gdańsk,True,2021-11-28 08:00:00,2021-11-28 16:00:00,False,"trakt Swietego Wojciecha 35, 80-812 Gdansk","{'street_number': '35', 'route': 'trakt świętego Wojciecha', 'locality': 'Gdańsk', 'administrative_area_level_2': 'Gdańsk', 'administrative_area_level_1': 'Pomorskie', 'country': 'Poland', 'postal_code': '80-376', 'formatted_address': 'trakt świętego Wojciecha 35, 80-376 Gdańsk, Poland', 'lat': 54.3345533, 'lng': 18.6355776, 'place_id': 'EjV0cmFrdCDFm3dpxJl0ZWdvIFdvamNpZWNoYSAzNSwgODAtMzc2IEdkYcWEc2ssIFBvbGFuZCIaEhgKFAoSCcXMxWCUc_1GEfK1Ttk9ndSFECM'}",35,trakt świętego Wojciecha,Gdańsk,Gdańsk,80-812,"trakt świętego Wojciecha 35, 80-376 Gdańsk, Poland",54.3345533,18.6355776,EjV0cmFrdCDFm3dpxJl0ZWdvIFdvamNpZWNoYSAzNSwgODAtMzc2IEdkYcWEc2ssIFBvbGFuZCIaEhgKFAoSCcXMxWCUc_1GEfK1Ttk9ndSFECM,True,"[54.3345533, 18.6355776]"
